id	ident	type	name	latitude_deg	longitude_deg	elevation_ft	iso_country	iso_region	municipality	icao_code	iata_code	gps_code	local_code
25335	VA02	small_airport	Pace Airport	36.58521	-79.8772	800	US	US-VA	Ridgeway			VA02	VA02
25337	VA04	small_airport	Barrows Airport	37.4920997619629	-79.9287033081055	1100	US	US-VA	Fincastle			VA04	VA04
25339	VA06	small_airport	Deer Run Airport	36.9943008422852	-80.4544982910156	2400	US	US-VA	Floyd			VA06	VA06
25340	VA07	small_airport	Burkes Garden Airport	37.096025	-81.369359	3060	US	US-VA	Tazewell			VA07	VA07
25341	VA08	small_airport	Longbranch Airport	37.717098236084	-76.3588027954102	20	US	US-VA	Kilmarnock			VA08	VA08
25343	VA10	small_airport	Catawba Valley Airport	37.280101776123	-80.301399230957	1720	US	US-VA	Blacksburg			VA10	VA10
25344	VA11	small_airport	White Oak Stand Airport	36.8078994750977	-81.7012023925781	2100	US	US-VA	Chilhowie			VA11	VA11
25345	VA12	small_airport	Gravely Airport	36.646800994873	-79.7969970703125	750	US	US-VA	Martinsville			VA12	VA12
25346	VA13	small_airport	Breezy Knoll Airport	37.2653999328613	-79.0428009033203	785	US	US-VA	Rustburg			VA13	VA13
25350	VA17	small_airport	Mulberry Run Airport	39.0359	-78.392197	820	US	US-VA	Strasburg			VA17	VA17
25352	VA19	small_airport	Snow Hill Airport	37.9539985656738	-78.3692016601563	268	US	US-VA	Charlottesville			VA19	VA19
25356	VA23	small_airport	Sanford Field	38.119714	-76.613674	15	US	US-VA	Hague			VA23	VA23
25357	VA24	small_airport	Skovhus Airport	37.4142990112305	-78.9642028808594	712	US	US-VA	Concord			VA24	VA24
25358	VA25	small_airport	Twin Towers Airport	36.7643013000488	-78.3604965209961	470	US	US-VA	Chase City			VA25	VA25
25360	VA27	small_airport	Moorefield's Airstrip	36.5598983764648	-80.1378021240234	1110	US	US-VA	Critz			VA27	VA27
25361	VA28	small_airport	Layne Farm Airstrip	37.1212997436523	-78.6436004638672	560	US	US-VA	Cullen			VA28	VA28
25363	VA30	small_airport	Berryvale Airport	38.526798248291	-77.9563980102539	470	US	US-VA	Culpeper			VA30	VA30
25364	VA31	small_airport	Apple Grove Airport	37.7625999450684	-76.3462982177734	15	US	US-VA	Kilmarnock			VA31	VA31
25365	VA32	small_airport	Longs Airport	38.8042984008789	-78.5719985961914	870	US	US-VA	Edinburg			VA32	VA32
